study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_min,mean,sd,change,change_sd,ri,yi,vi
Williams_2022,Williams_2022,2022,USA,27,3,NA,Group 1,BMI,23.9,3.6,3,23.9,3.6,NA,NA,0.9,0,1.680642845888552e-4
Williams_2022,Williams_2022,2022,USA,27,3,NA,Group 1,Body mass (kg),71.1,14.1,3,71.1,14.1,NA,NA,0.9,0,2.9131661526754895e-4
Williams_2022,Williams_2022,2022,USA,27,6,NA,Group 1,BMI,23.9,3.6,3,25.4,3.7,NA,NA,0.9,0.06087071508702591,1.634425393554227e-4
Williams_2022,Williams_2022,2022,USA,27,6,NA,Group 1,Body mass (kg),71.1,14.1,3,75.4,14,NA,NA,0.9,0.0587199382047154,2.7866832124924914e-4
Williams_2022,Williams_2022,2022,USA,27,24,NA,Group 1,BMI,23.9,3.6,3,25.8,3.8,NA,NA,0.9,0.0764960329901068,1.647501272958867e-4
Williams_2022,Williams_2022,2022,USA,27,24,NA,Group 1,Body mass (kg),71.1,14.1,3,76.8,14.2,NA,NA,0.9,0.07711730334443141,2.7827485577431145e-4
Rotterud_2012,Rotterud_2012,2012,Norway,57,25.2,(24 to 60) range,Group 1,BMI,25.4,3.5,25.2,25.4,3.5,NA,NA,0.9,0,6.662294026342432e-5
Ulstein_2017,Rotterud_2012,2017,Norway,73,76.5,17,Group 1,BMI,25.4,3.5,25.2,25.3,3.5,NA,NA,0.9,-0.00394477829101622,5.2230330753753385e-5
Frobell_2010,KANON,2010,Sweeden,121,24,NA,combined,BMI,24.1,2.9,24,24.1,2.9,NA,NA,0.9,0,2.3933517753277307e-5
KANON_2015,KANON,2015,Sweeden,117,60,NA,combined,BMI,24.1,2.9,24,25.5,3.6,NA,NA,0.9,0.05646661166777116,3.275300885266779e-5
Lohmander_2023,KANON,2023,Sweeden,107,132,(128 to 136) 95%C.I,combined,BMI,24.1,2.9,24,25.3,3.9,NA,NA,0.9,0.04859255523686528,4.535993121240284e-5
Michaud_2024,Culvenor_2015,2024,Australia,75,13,1,Group 1,BMI,25.8,3.8,13,25.8,3.8,NA,NA,0.9,0,5.784908759489608e-5
Michaud_2024,Culvenor_2015,2024,Australia,73,60,NA,Group 1,BMI,25.8,3.8,13,26.2,3.6,NA,NA,0.9,0.01538491883947945,5.678404764106985e-5
Girdwood_2024,Culvenor_2015,2024,Australia,45,138,4.8,Group 1,BMI,25.8,3.8,13,27.43,4.54,NA,NA,0.9,0.06126281302194014,1.1572707650794292e-4
Spindler_2018,MOON,2018,USA,1557,0,NA,Group 1,BMI,25.166666666666668,4.229375256411373,0,25.166666666666668,4.229375256411373,NA,NA,0.9,0,3.627792424588368e-6
Spindler_2018,MOON,2018,USA,1355,24,NA,Group 1,BMI,25.166666666666668,4.229375256411373,0,25.26666666666667,4.0815459728189385,NA,NA,0.9,0.0039656363933471,4.038320715283362e-6
Spindler_2018,MOON,2018,USA,1368,72,NA,Group 1,BMI,25.166666666666668,4.229375256411373,0,25.833333333333332,4.229922565066493,NA,NA,0.9,0.0261452801043222,4.036581276273961e-6
Pederson_2021,Delaware-oslo,2021,USA/Norway,262,0,NA,combined,BMI,24.5,3.9,0,24.5,3.9,NA,NA,0.9,0,1.9343085419243247e-5
Arhos_2022,Delaware-oslo,2022,USA/Norway,204,66,6,combined,BMI,24.5,3.9,0,25.4,4,NA,NA,0.9,0.03607605647380959,2.4590982534898097e-5
Urhausen_2024,Delaware-oslo,2024,USA/Norway,163,130.8,9.6,combined,BMI,24.5,3.9,0,25.8,4,NA,NA,0.9,0.05170137437689041,3.0387166685614142e-5
Le_2023,Whittaker_2025,2023,Canada,60,0,NA,combined,BMI,24.1,4.3,0,24.1,4.3,NA,NA,0.9,0,1.0611617109439112e-4
Le_2023,Whittaker_2025,2023,Canada,54,6,NA,combined,BMI,24.1,4.3,0,24.8,4.6,NA,NA,0.9,0.02863181267432708,1.234959087915426e-4
Jansen_2025,Whittaker_2025,2025,Canada,49,12,NA,combined,BMI,24.1,4.3,0,25,4.6,NA,NA,0.9,0.03666398437159131,1.346341917287221e-4
Jansen_2025,Whittaker_2025,2025,Canada,44,18,NA,combined,BMI,24.1,4.3,0,25.5,4.6,NA,NA,0.9,0.05646661166777116,1.4638879866352129e-4
Jansen_2025,Whittaker_2025,2025,Canada,42,24,NA,combined,BMI,24.1,4.3,0,25.3,4.2,NA,NA,0.9,0.04859255523686528,1.447160475603836e-4
Ejerhed_2004,Ejerhed_2004,2004,Sweeden,31,0,NA,ACLR,Body mass (kg),76,16,0,76,16,NA,NA,0.9,0,2.8594406219283356e-4
Ejerhed_2004,Ejerhed_2004,2004,NA,31,26,NA,ACLR,Body mass (kg),76,16,0,76,16,NA,NA,0.9,0,2.8594406219283356e-4
Erhart-Hledik_2017,Erhart-Hledik_2017,2017,USA,17,26.4,3.6,Group 1,Body mass (kg),68.3,10.2,26.4,68.3,10.2,NA,NA,0.9,0,2.623856082351354e-4
Erhart-Hledik_2017,Erhart-Hledik_2017,2017,USA,17,26.4,3.6,Group 1,BMI,23.5,2.7,26.4,23.5,2.7,NA,NA,0.9,0,1.5530050861449138e-4
Erhart-Hledik_2017,Erhart-Hledik_2017,2017,USA,17,92.4,8.4,Group 1,Body mass (kg),68.3,10.2,26.4,72.4,8.5,NA,NA,0.9,0.05829653281492644,2.6627375443694025e-4
Erhart-Hledik_2017,Erhart-Hledik_2017,2017,USA,17,92.4,8.4,Group 1,BMI,23.5,2.7,26.4,25,2.2,NA,NA,0.9,0.06187540371808745,1.6149378212126854e-4
