study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Grant_2010,Grant_2005,2010,Canada,66,38.7,5.8,combined,Body mass (kg),79,15.7,0,38.7,81,15.6,NA,NA,0.9,0.025001302205417186,1.1655553253033901e-4,6.46028480760134e-4,7.78235365999232e-8,2.7896870182858005e-4
Grinberg_2024,Grinberg_2024,2024,Sweeden,22,2.8,(2.1 to 3.1) IQR,Group 1,Body mass (kg),NA,NA,NA,NA,71.7,12.8,NA,NA,0.9,NA,NA,NA,NA,NA
Grinberg_2024,Grinberg_2024,2024,NA,22,2.8,(2.1 to 3.1) IQR,Group 1,BMI,NA,NA,NA,NA,23.5,2.9,NA,NA,0.9,NA,NA,NA,NA,NA
Grinberg_2024,Grinberg_2024,2024,NA,22,8,(7.4 to 10.8) IQR,Group 1,Body mass (kg),71.7,12.8,2.8,5.2,72.3,11.8,NA,NA,0.9,0.00833338155914424,2.75533748156274e-4,0.0016025733767585078,1.0189857550158061e-5,0.0031921556274965767
Grinberg_2024,Grinberg_2024,2024,NA,22,8,(7.4 to 10.8) IQR,Group 1,BMI,23.5,2.9,2.8,5.2,23.7,2.9,NA,NA,0.9,0.008474626990972236,1.3732291979450472e-4,0.001629735959802353,5.0785103474299074e-06,0.002253555046461015
Grinberg_2024,Grinberg_2024,2024,NA,22,12.9,(10.8 to 16.1) IQR,Group 1,Body mass (kg),72.3,11.8,8,4.9,72.2,12,NA,NA,0.9,-0.0013840832659383414,2.4700917351013494e-4,-2.824659726404778e-4,1.0287762328618696e-5,0.003207454181842462
Grinberg_2024,Grinberg_2024,2024,NA,22,12.9,(10.8 to 16.1) IQR,Group 1,BMI,23.7,2.9,8,4.9,23.7,2.9,NA,NA,0.9,0,1.3611519780403012e-4,0,5.6691044483144564e-6,0.002380988124353932
Hanstein_2019,Hanstein_2019,2019,USA,44,0,NA,Group 1,BMI,NA,NA,NA,NA,26.1,4.8,NA,NA,0.9,NA,NA,NA,NA,NA
Hanstein_2019,Hanstein_2019,2019,USA,38,6,NA,Group 1,BMI,26.1,4.8,0,6,26.9,5.1,NA,NA,0.9,0.030190972279145516,1.8436215247702968e-4,0.005031828713190919,5.121170902139714e-6,0.0022630004202694514
Hanstein_2019,Hanstein_2019,2019,USA,39,12,NA,Group 1,BMI,26.9,5.1,6,6,27.8,5.7,NA,NA,0.9,0.03290973408879796,2.0546520230608893e-4,0.005484955681466327,5.707366730724693e-6,0.0023890095710826886
Hanstein_2019,Hanstein_2019,2019,USA,44,25.1,(12 to 63) range,Group 1,BMI,27.8,5.7,12,13.100000000000001,28.3,5.6,NA,NA,0.9,0.017825783952600666,1.8558426700242096e-4,0.0013607468666107377,1.0814303770317634e-6,0.0010399184472985193
Harput_2020,Harput_2020,2020,Turkey,91,1,NA,Group 1,Body mass (kg),NA,NA,NA,NA,79.6,13.7,NA,NA,0.9,NA,NA,NA,NA,NA
Harput_2020,Harput_2020,2020,Turkey,91,3,NA,Group 1,Body mass (kg),79.6,13.7,1,2,79.8,13.8,NA,NA,0.9,0.002509411605425707,6.542166075891955e-5,0.0012547058027128535,1.635541518972989e-5,0.004044182882824402
Harput_2020,Harput_2020,2020,Turkey,91,6,NA,Group 1,Body mass (kg),79.8,13.8,3,3,79.8,13.7,NA,NA,0.9,0,6.526755071048138e-5,0,7.2519500789423756e-6,0.0026929444997887304
Järvelä _2000,Järvelä _2000,2000,Finland,91,0,NA,Group 1,Body mass (kg),NA,NA,NA,NA,74.5,12.8,NA,NA,0.9,NA,NA,NA,NA,NA
Järvelä _2000,Järvelä _2000,2000,Finland,91,84.4,0.8,Group 1,Body mass (kg),74.5,12.8,0,84.4,77.9,14.2,NA,NA,0.9,0.04462682749118881,7.003773623328853e-5,5.287538802273556e-4,9.83212082967708e-9,9.915705133613585e-5
Janani_2020,Janani_2020,2020,India,1250,3,1,combined,Body mass (kg),NA,NA,NA,NA,64.8,13,NA,NA,0.9,NA,NA,NA,NA,NA
Janani_2020,Janani_2020,2020,India,1250,3,1,combined,BMI,NA,NA,NA,NA,25.4,7.2,NA,NA,0.9,NA,NA,NA,NA,NA
